Line #,,Annotations,Relations,,Text,Comments
1,,,,,SOX2 Is an Amplified Lineage Survival Oncogene in Lung and Esophageal Squamous Cell Carcinomas,
2,,,,,Lineage survival oncogenes are activated by somatic DNA alterations in cancers arising from the cell lineages in which these genes play a role in normal development .,
3,,,,,", Here we show that a peak of genomic amplification on chromosome 3q26 .33 , found in squamous cell carcinomas ( SCCs ) of the lung and esophagus , contains the transcription factor gene SOX2 -- which is mutated in hereditary human esophageal malformations and necessary for normal esophageal squamous development , promotes differentiation and proliferation of basal tracheal cells and co-operates in induction of pluripotent stem cells .",
4,,,,,", , SOX2 expression is required for proliferation and anchorage independent growth of lung and esophageal cell lines , as shown by RNA interference experiments .",
5,,,,,"Furthermore , ectopic expression of SOX2 cooperated with FOXE1 or FGFR2 to transform immortalized tracheobronchial epithelial cells .",
6,,,,,SOX2 driven tumors show expression of markers of both squamous differentiation and pluripotency .,
7,,,,,These observations identify SOX2 as a novel lineage survival oncogene in lung and esophageal SCC .,
8,,,,,"To identify genomic aberrations in lung and esophageal SCCs , we determined copy number for 40 esophageal SCC DNA samples ( 29 primary tumors and 11 cell lines ) and 47 primary lung SCC DNA samples using 250K Sty I Affymetrix single-nucleotide polymorphism ( SNP ) arrays .",
9,,,,,"Data were analyzed using GISTIC ( Genomic Identification of Significant Targets in Cancer ) , , which scores the significance of recurrent gains or losses and identifies peak regions likely to contain the driver gene ( s ) .",
10,,,,,"For lung SCC , the most significant amplification peak is located on chromosome segment 3q26 .33 , with the next most significant peaks encompassing the tyrosine kinase genes EGFR on 7p11 .2 and FGFR1 on 8p12 .",
11,,,,,"In esophageal SCC , the most significant amplification peak spans the cyclin gene CCND1 on 11q13 .2 ; additional amplifications are found at EGFR , FGFR1 , chromosome segment 3q26 .33 and on 8q24 .21 near MYC and POU5F1B .",
12,,,,,Significant focal deletions including deletions of CDKN2A and B on 9p21 .3 were also identified .,
13,,,,,"Chromosome segment 3q26 .33 is amplified in 11 of the 47 ( 23 % ) lung and 6 of the 40 ( 15 % ) esophageal SCCs analyzed , as defined by SNP array derived copy number of 3.6 or greater , which is generally a significant underestimate due to high tumor ploidy , normal DNA admixture , or signal saturation at high copy number .",
14,,,,,"As five of the six amplified esophageal SCCs cases were cell lines , we performed fluorescence in situ hybridization ( FISH ) on tissue microarrays ( TMA ) from 63 independent primary esophageal SCC samples and noted amplifications in 7 of 63 cases to confirm recurrent amplifications in primary tumors ( data not shown ) .",
15,,,,,"The peaks on chromosome segment 3q26 .33 occur within a previously defined focus of amplification within 3q26-3q28 in SCCs , containing candidate oncogenes including TP63 , PIK3CA and DCUN1D1 .",
16,,,,,"In our lung SCC analysis , the peak contains four genes ( SOX2 , ATP11B , DCUN1D1 , and MCCC1 ) .",
17,,,,,"In esophageal SCC , the 3q amplification peak includes only one annotated gene , SOX2 .",
18,,,,,"Even for those samples with the highest copy number at PIK3CA and TP63 , SOX2 is amplified to higher levels in the majority of these samples .",
19,,,,,"While these results argue that SOX2 is a target of amplification , the absence of other genes from a GISTIC peak does not exclude an oncogenic role , nor does it exclude polygenic contributions .",
20,,,,,"Indeed , one lung SCC sample did harbor higher amplification at DCUN1D1 and ATP11B than at SOX2 , and also one lung SCC sample showed amplification at 183.03-183 .27 Mb on chromosome 3 , syntenic to the region containing lincRNA-Sox2 , a non coding RNA identified as a target of Sox2 in mouse ES cells .",
21,,,,,"To evaluate the impact of 3q26 .33 amplification on SOX2 expression , we measured SOX2 mRNA levels by quantitative RT-PCR in 27 lung SCCs for which matched SNP array data and RNA were available .",
22,,,,,Cases with SOX2 amplification had higher mRNA expression ( p-value = 0.001 ; ) .,
23,,,,,"We noted several cases without 3q26 .33 amplification with high SOX2 mRNA expression , suggesting that mechanisms other than amplification also can induce SOX2 overexpression .",
24,,,,,"For esophageal SCC , we also documented the correlation of amplification and expression using immunohistochemistry and FISH on matched TMAs .",
25,,,,,We next evaluated the essentiality of genes within and near the amplification peak at 3q26 .33 for SCC cell lines bearing the amplification .,
26,,,,,"We performed an arrayed RNAi screen targeting SOX2 , ten neighboring genes , two additional candidates ( PIK3CA and TP63 ) and control short hairpin RNAs ( shRNA ) specific for GFP and LacZ .",
27,,,,,"Three to ten independent shRNAs were tested and analyzed after introduction into four SCC cell lines ( esophageal lines TE10 and TT and lung lines NCI-H520 and HCC95 ) that harbor 3q26 .33 amplification and two control lung adenocarcinoma cell lines that lack 3q26 .33 amplification , NCI-H1437 and NCI-H1355 .",
28,,,,,"Each shRNA construct was evaluated for its differential impact on proliferation , comparing its effect on the four amplified SCC lines to the two control cell lines .",
29,,,,,Expression of several independent shRNAs targeting SOX2 reduced proliferation of the SCC cell lines compared to their effects in controls .,
30,,,,,"Analysis with the RIGER , algorithm shows that suppression of SOX2 has the largest differential anti-proliferative effects on the 3q26 .33 amplified SCC cell lines among all genes tested .",
31,,,,,Since prior work had implicated DCUN1D1 as a potential transforming oncogene we further validated the results of shRNA constructs targeting this gene and noted consistently less effect for knockdown of this gene relative to SOX2 .,
32,,,,,These observations suggest that SOX2 is an essential gene in SCCs with 3q26 .33 amplifications .,
33,,,,,"To determine in more detail the requirement for amplified SOX2 , we examined cell lines expressing SOX2 directed or control shRNAs ( shSOX2a , shSOX2b and shGFP ) .",
34,,,,,Suppression of SOX2 with either of two shRNA constructs reduced proliferation in the four 3q26.33-amplified lines but not in controls without appreciable Sox2 expression .,
35,,,,,We next evaluated anchorage independent growth .,
36,,,,,"TE10 , TT and NCI-H1355 were not tested as these cell lines fail to form colonies in soft agar .",
37,,,,,ShRNA targeting SOX2 decreases colony formation in SOX2 amplified HCC95 and NCI-H520 cells compared to NCI-H1437 cells .,
38,,,,,Further results suggest that the reduction in anchorage-independence upon SOX2 knockdown exceeds the reduction in proliferation and that SOX2 is essential for some tumor cells with lower-level copy-gain at 3q26 .33 .,
39,,,,,"To confirm that the effects of SOX2 shRNA are attributable to SOX2 suppression , we tested whether we could rescue the effects of suppression of SOX2 with ectopic wild-type SOX2 or SOX2 R74P , a loss-of-function DNA binding domain mutant identified in a patient with congenital tracheoesophageal fistula .",
40,,,,,"We introduced wild-type and mutant SOX2 into HCC95 cells and subsequently introduced shSOX2b , which targets the SOX2 3 ' UTR .",
41,,,,,"Expression of wild-type SOX2 restored anchorage independent growth , whereas SOX2 R74P or GFP control failed to do so .",
42,,,,,These observations demonstrate a clear requirement for SOX2 and argue against the possibility that the effects of shSOX2b on HCC95 cells are due to off-target toxicity .,
43,,,,,We next examined the ability of SOX2 to transform immortalized tracheobronchial epithelial ( AALE ) cells .,
44,,,,,"As SOX2 alone was not transforming , we searched lung SCC expression data for genes whose expression correlates with SOX2 expression as candidates for co-operative transformation .",
45,,,,,"The most highly correlated gene is FOXE1 , a forkhead transcription factor gene on chromosome 9q22 .33 , which is also the locus of the most significant germ-line risk allele for thyroid cancer ( followed by the NKX2-1 locus ) .",
46,,,,,"FOXE1 is expressed in the epithelium of the developing esophagus , and congenital mutations cause cleft palate and hypothyroidism .",
47,,,,,"Another highly correlated gene , the receptor tyrosine kinase gene FGFR2 , was of particular interest given that activating mutations are observed in lung SCC .",
48,,,,,"While neither SOX2 nor FOXE1 ectopic expression alone was transforming , their co-expression induced anchorage independent growth .",
49,,,,,"However , we were unable to demonstrate a stable physical interaction of Sox2 and FoxE1 with co-immunoprecipitation ( data not shown ) , the suppression of FOXE1 with RNAi failed to reduce proliferation of SCC cell lines , and FoxE1 protein was not appreciably expressed in all SOX2 dependent SCC lines ( data not shown ) , suggesting that FOXE1 is not broadly required for SOX2 function .",
50,,,,,"To investigate potential cooperation between SOX2 and FGFR2 , we similarly generated stable AALE lines by ectopic expression of SOX2 , wild-type FGFR2 in the IIIb or IIIc splice variants , or both genes .",
51,,,,,"Neither SOX2 nor FGFR2 expression alone could transform AALE cells , but the combination of SOX2 with the FGFR2 IIIb isoform found in epithelial cancers promoted anchorage independent growth .",
52,,,,,"In contrast , expression of the ' mesenchymal ' isoform IIIc failed to transform these cells with SOX2 .",
53,,,,,These results demonstrate that SOX2 can be transforming with multiple cooperating genes .,
54,,,,,Further work will be required to elaborate the genes which can act with SOX2 in tumorigenesis and the subtypes of tumors in which these genes are active .,
55,,,,,"In prior reports , we and others have identified that the developmental transcription factor NKX2-1 ( or TITF1 ) is an amplified lineage survival oncogene in lung adenocarcinoma .",
56,,,,,", , , Within the primitive foregut there is reciprocal expression of Nkx2 .1 and Sox2 in compartments that form the trachea and esophagus , respectively .",
57,,,,,"Experimentally , Nkx2 .1-/- mice form hypoplastic lungs that stem from an undivided foregut with Sox2 + / p63 + squamous epithelium .",
58,,,,,"By contrast , mice that express a hypomorphic Sox2 allele develop tracheoesophageal fistulae and form an esophagus with a ciliated Nkx2 .1+ / p63- mucosa .",
59,,,,,"Hypothesizing that SOX2 may similarly represent a lineage survival oncogene , we compared the expression and amplification patterns of these two genes between lung adenocarcinomas and SCCs .",
60,,,,,"We found SOX2 amplifications to be enriched in the lung SCC tumor population , while NKX2-1 amplification was enriched in lung adenocarcinoma , consistent with a previous study of NKX2-1 and with a report that the copy-number of lung adenocarcinoma and SCC are distinguished by SCC specific amplification chromosome 3q at 180-200 Mb .",
61,,,,,SNP array analysis from multiple adenocarcinoma lineages including esophageal adenocarcinomas failed to identify significant SOX2 amplification ( Beroukhim et al ; submitted ) .,
62,,,,,"Furthermore , mRNA expression data , show that SOX2 mRNA levels are significantly higher in the lung SCC population compared to adenocarcinomas while NKX2-1 expression is significantly higher in adenocarcinomas .",
63,,,,,The complementary roles of SOX2 and NKX2-1 in distinct cancer lineages thus parallel their actions in development .,
64,,,,,"In addition to its role in the development and maintenance of esophageal and tracheal tissues , SOX2 is also a key factor in pluripotency and one of the factors that allows reprogramming of mature cells to pluripotent stem cells .",
65,,,,,", , Although the lineage restricted nature of SOX2 amplifications in lung and esophageal SCC argues for a role as a lineage survival oncogene , we sought to determine how SOX2 's role as a pluripotency factor could contribute to its oncogenic activity .",
66,,,,,Expression analysis across other tumor lineages has identified signatures of embryonic stem cells ( ES cells ) in subsets of tumors ; these tumors tend to be poorly differentiated and associated with decreased survival .,
67,,,,,"Querying lung SCC expression data with these signatures , we noted ES like signatures and expression of targets of the core ES transcription factors in tumors with higher SOX2 expression .",
68,,,,,"However , patients presenting with lung SCC tumors exhibiting the ES-signature had improved survival compared to those without the signature ( p-value for Kaplan-Meier plot 0.03 ; not shown ) , and we did not identify significant association of SOX2 amplification or expression with clinical grade .",
69,,,,,"In contrast , expression of SOX2 correlates with markers of squamous differentiation in lung SCCs .",
70,,,,,"TP63 and KRT6A , which encode for the squamous markers p63 and cytokeratin 6A , respectively , were among the 50 transcripts most correlated with SOX2 expression in lung SCCs .",
71,,,,,"When SOX2 was ectopically expressed in the lung adenocarcinoma line NCI-H2009 , both TP63 and KRT6A were induced , demonstrating actions of SOX2 that promote squamous identity rather than de-differentiation to a pluripotent state , thus consistent with a role as a lineage survival oncogene .",
72,,,,,This is the first report to show that SOX2 is an amplified oncogene in lung or esophageal SCC .,
73,,,,,"SOX2 has critical roles in foregut development where it regulates initial dorsal and ventral patterning , shapes epithelial-mesenchymal interactions and is required for proper differentiation of both the squamous esophagus and of multiple respiratory cell types .",
74,,,,,"SOX2 retains essential functions in the adult foregut where it is expressed in the proliferative basal esophagus and in the putative tracheal and airway stem cells , where SOX2 is necessary for proliferation and response to injury .",
75,,,,,SOX2 driven SCCs likely co-opt multiple functions regulated by SOX2 in the normal foregut and may activate additional pathways controlled by SOX2 in early pluripotent cells .,
76,,,,,"Given the complexity of these functions and the involvement of interactions of multiple cell types , further study of the oncogenic function of SOX2 will require engineered animal and organotypic tissue culture models .",
