0 0-14	C1
3 0-16	C2
4 3-13	C2
5 0-29	S1
6 2-23	C2
17 0-21	
18 0-25	C3,S2
19 2-13	C4
20 8-26	C5
22 2-18	C6,S3
23 4-14	S4,C7
24 16-20	S4,C7
25 4-30	C8
27 0-19	
28 0-17	S5
33 3-11	C9
35 9-22	C9
38 2-6	S6,C10
39 9-24	S6,C10,C11,S7
40 0-12	C11,S7
52 0-22	C12,S8
53 0-28	C12,S8
54 2-21	C12,S8
56 0-23	C12,S8
57 8-20	C12,S8
66 16-23	C12,S8
67 0-10	C12,S8
69 0-22	C12,S8
70 9-22	C12,S8
71 5-21	C12,S8
82 2-13	S9
83 0-16	S9
84 0-13	S9
85 2-23	S10
86 4-10	S11
87 0-19	S11
97 6-27	S11
102 2-33	C13,S11
112 8-20	
113 0-21	
131 13-35	C14
149 0-14	C14
150 8-15	C14
151 1-15	C14
166 9-11	C15
168 4-25	S12
169 2-22	C15
173 0-26	C16
174 0-43	C15
175 6-21	C15
176 0-33	
